2026-04-14T22:54:27.334676575Z [inf]  Starting Container
2026-04-14T22:54:27.620649968Z [inf]  Cloudflare AI Gateway ENABLED — base=https://gateway.ai.cloudflare.com/v1/d66e40eac539fff1db270fddf384a5ec/syrabit, cache_ttl=3600s
2026-04-14T22:54:28.713009630Z [inf]  Supabase client ready
2026-04-14T22:54:28.713013360Z [inf]  Sarvam AI translation client ready (priority key)
2026-04-14T22:54:28.713016020Z [inf]  HTTP Request: POST https://tolerant-sawfish-67135.upstash.io "HTTP/1.1 200 OK"
2026-04-14T22:54:28.713021240Z [inf]  MongoDB client initialised (connection not yet verified)
2026-04-14T22:54:28.713028300Z [inf]  HTTP Request: GET https://czeznmqogtwecidhpysa.supabase.co/rest/v1/users?select=id&limit=1 "HTTP/2 200 OK"
2026-04-14T22:54:28.720508671Z [inf]  Sarvam AI client ready (HTTP/2 pooled, dual-client, Cloudflare AI Gateway: https://gateway.ai.cloudflare.com/v1/d66e40eac539fff1db270fddf384a5ec/syrabit/sarvam)
2026-04-14T22:54:28.728447981Z [inf]  Environment validation passed
2026-04-14T22:54:28.728453961Z [inf]  ─── LLM Provider Key Diagnostic ───
2026-04-14T22:54:28.728458281Z [inf]    GROQ_API_KEY: SET
2026-04-14T22:54:28.728462461Z [inf]    GROQ_API_KEY_2: SET
2026-04-14T22:54:28.728466031Z [inf]    GEMINI_API_KEY: SET
2026-04-14T22:54:28.737765867Z [inf]    GEMINI_API_KEY_2: NOT SET
2026-04-14T22:54:28.737769997Z [inf]    XAI_API_KEY: NOT SET
2026-04-14T22:54:28.737773447Z [inf]    OPENAI_API_KEY: NOT SET
2026-04-14T22:54:28.737776377Z [inf]    SARVAM_API_KEY: SET
2026-04-14T22:54:28.737779357Z [inf]    CEREBRAS_API_KEY: SET
2026-04-14T22:54:28.737782157Z [inf]    OPENROUTER_API_KEY: SET
2026-04-14T22:54:28.737785077Z [inf]    AWS_ACCESS_KEY_ID: NOT SET
2026-04-14T22:54:28.737787607Z [inf]    AWS_SECRET_ACCESS_KEY: NOT SET
2026-04-14T22:54:28.738964184Z [inf]  ───────────────────────────────────
2026-04-14T22:54:29.121531282Z [inf]  SLM SmartKeyPool active slots: [('groq', 'meta-llama/llama-4-scout-17b-16e-instruct', 4, 30), ('cerebras', 'llama3.1-8b', 4, 30), ('openrouter', 'meta-llama/llama-4-scout', 4, 60)]
2026-04-14T22:54:29.121537162Z [inf]  SLM SmartKeyPool active slots: [('gemini', 'gemini-2.5-flash', 6, 30), ('sarvam', 'sarvam-m', 4, 30), ('cerebras', 'qwen-3-235b-a22b-instruct-2507', 4, 30)]
2026-04-14T22:54:29.121544192Z [inf]  Admin content providers (quality-first order): ['cerebras/qwen-3-235b-a22b-instruct-2507', 'sarvam/sarvam-m', 'gemini/gemini-2.5-flash']
2026-04-14T22:54:29.665046534Z [inf]  vertex_services: Google AI Studio API-key mode
2026-04-14T22:54:33.698988176Z [inf]  Replit PostgreSQL pool ready — tables created/verified
2026-04-14T22:54:33.698991746Z [inf]  Worker acquired startup lock — running migrations/indexes
2026-04-14T22:54:33.698995496Z [inf]  Replit PostgreSQL pool ready — tables created/verified
2026-04-14T22:54:33.698999346Z [inf]  Worker skipping migrations/indexes (another worker owns lock)
2026-04-14T22:54:33.699002846Z [inf]  Syrabit.ai API started
2026-04-14T22:54:33.699006006Z [inf]  Sarvam AI client ready
2026-04-14T22:54:35.840479358Z [inf]  100.64.0.2:52679 - "GET /api/health HTTP/1.1" 200
2026-04-14T22:54:38.264668639Z [wrn]  SLOW_QUERY library_bundle took 1698ms (threshold=200.0ms)
2026-04-14T22:54:38.665919170Z [inf]  Library-bundle cache pre-warmed
2026-04-14T22:54:38.716922351Z [wrn]  Cloudflare AI Gateway 401 auth error — falling back to direct URLs for 5 min: HTTPStatusError: Client error '401 Unauthorized' for url 'https://gateway.ai.cloudflare.com/v1/d66e40eac539fff1db270fddf384a5ec/syrabit/sarvam/v1/chat/completions'
For more information check: https://developer.mozilla
2026-04-14T22:54:40.052224752Z [inf]  llm_call provider=sarvam model=sarvam-m duration_ms=1385 tokens_approx=0
2026-04-14T22:54:43.664457015Z [inf]  MongoDB indexes ensured
2026-04-14T22:54:44.680034350Z [inf]  QA engine indexes ensured
2026-04-14T22:54:44.824748216Z [inf]  [migration] consent_dpdp columns ensured
2026-04-14T22:54:44.824757716Z [inf]  Syrabit.ai API started
2026-04-14T22:54:44.824763296Z [inf]  Sarvam AI client ready
